user,peak_risk,mean_risk,last_risk,total_days,days_flagged,days_high,peak_day,is_insider,primary_dim,intervention_level,max_projected_risk
ABM3687,5.8922,3.422,3.0972,216,10,0,114.0,0,RISK_TAKER,1.0,8.1946
ABM3772,4.7896,2.4019,1.4865,363,0,0,215.0,0,AUTONOMOUS,1.0,6.7665
ABM3776,3.4082,1.5101,1.6853,356,0,0,272.0,0,RISK_TAKER,1.0,4.8873
ABO1173,3.9029,1.6763,1.1561,363,0,0,245.0,0,RISK_TAKER,1.0,5.9614
ABP2003,3.2665,0.9792,0.8624,356,0,0,465.0,0,CAREFULL,1.0,4.7722
ABP2917,4.7721,1.7045,0.7779,423,0,0,149.0,0,COMPLIANT,1.0,8.1005
ABR0397,2.9504,1.1962,0.9216,356,0,0,59.0,0,SOCIAL,1.0,4.0423
ABS0677,2.4186,1.0873,1.1196,356,0,0,494.0,0,COMPLIANT,1.0,4.0019
ABW0501,2.2903,1.2323,1.1877,356,0,0,507.0,0,SOCIAL,1.0,3.506
ACA0360,2.2016,1.0177,1.2461,356,0,0,276.0,0,COMPLIANT,1.0,3.2296
ACA3252,1.0463,0.8782,0.9161,356,0,0,406.0,0,CAREFULL,1.0,1.3171
ACB0701,4.6486,1.455,1.4536,386,0,0,127.0,0,SOCIAL,1.0,5.7218
ACB3123,4.0563,1.7342,1.8299,358,0,0,229.0,0,CAREFULL,1.0,4.6661
ACC2773,2.0607,0.9254,1.2657,356,0,0,110.0,0,RISK_TAKER,1.0,2.694
ACF1806,3.9735,2.8841,3.082,118,0,0,132.0,0,RISK_TAKER,1.0,4.2736
ACG0312,2.4559,1.3651,1.1218,356,0,0,292.0,0,SOCIAL,1.0,3.5943
ACG3819,4.3349,1.656,1.4434,414,0,0,309.0,0,RISK_TAKER,1.0,6.9488
ACH0008,3.7507,1.7998,1.4745,356,0,0,213.0,0,AUTONOMOUS,1.0,5.4726
ACH1405,2.2883,1.1312,1.117,356,0,0,333.0,0,AUTONOMOUS,1.0,2.4818
ACH1910,3.7675,1.5724,1.354,451,0,0,148.0,0,RISK_TAKER,1.0,5.5135
ACH2102,1.8941,0.7454,0.7143,356,0,0,472.0,0,AUTONOMOUS,1.0,2.6619
ACJ0014,2.9923,1.1236,1.7292,356,0,0,297.0,0,AUTONOMOUS,1.0,3.7926
ACL2943,2.6269,1.1463,1.3381,356,0,0,397.0,0,CAREFULL,1.0,3.1712
ACM0100,1.9824,0.8183,0.7435,356,0,0,369.0,0,RISK_TAKER,1.0,2.5173
ACM2278,4.5029,1.1883,0.8539,176,0,0,236.0,1,COMPLIANT,1.0,7.3315
ACM3964,2.8546,1.2196,1.1292,356,0,0,60.0,0,AUTONOMOUS,1.0,3.6203
ACN2347,2.1814,1.1235,0.8906,356,0,0,494.0,0,CAREFULL,1.0,2.9638
ACP2122,3.7696,1.3351,0.8832,378,0,0,471.0,0,AUTONOMOUS,1.0,5.4119
ACR0331,1.7661,0.7774,0.7422,356,0,0,269.0,0,CAREFULL,1.0,2.3999
ACR0748,1.625,0.7905,0.648,356,0,0,348.0,0,AUTONOMOUS,1.0,1.9979
ACS0128,3.3271,0.9152,0.6896,259,0,0,151.0,0,CAREFULL,1.0,5.6238
ACS1921,3.3892,1.9535,1.4109,356,0,0,13.0,0,RISK_TAKER,1.0,4.6719
ACV1946,3.8727,1.7734,0.9573,361,0,0,508.0,0,AUTONOMOUS,1.0,4.4515
ACW0426,1.5038,0.9905,1.0034,356,0,0,17.0,0,RISK_TAKER,1.0,1.9334
ACW0464,4.3815,2.7142,1.6266,356,0,0,376.0,0,AUTONOMOUS,1.0,6.1234
ACW1707,2.96,0.9199,1.9316,356,0,0,116.0,0,COMPLIANT,1.0,3.5022
ADB0350,2.4805,1.2151,1.7152,356,0,0,385.0,0,SOCIAL,1.0,2.4688
ADB1105,3.3452,1.6864,1.5871,251,0,0,346.0,0,SOCIAL,1.0,4.2408
ADB3853,2.0188,0.8552,1.192,356,0,0,489.0,0,SOCIAL,1.0,2.3114
ADC1469,1.9947,0.8588,0.9574,356,0,0,395.0,0,SOCIAL,1.0,2.9732
ADG1430,2.3808,1.0096,0.988,356,0,0,294.0,0,CAREFULL,1.0,2.6619
ADG1737,6.1542,2.7321,1.8066,364,3,0,503.0,0,RISK_TAKER,1.0,8.2729
ADH0975,2.6255,1.1301,0.8544,356,0,0,111.0,0,RISK_TAKER,1.0,3.3494
ADM0158,2.9136,1.0131,0.8078,356,0,0,271.0,0,COMPLIANT,1.0,4.1788
ADM0765,2.3168,0.9494,0.8483,356,0,0,251.0,0,SOCIAL,1.0,2.697
ADM0923,4.1002,1.8242,1.2523,359,0,0,413.0,0,AUTONOMOUS,1.0,6.1617
ADM1894,2.0132,0.9516,0.806,356,0,0,234.0,0,AUTONOMOUS,1.0,2.5707
ADM2762,2.0281,0.9874,1.0331,356,0,0,210.0,0,COMPLIANT,1.0,2.6285
ADP1625,2.7685,1.1162,0.8895,362,0,0,342.0,0,SOCIAL,1.0,3.9123
ADP3667,4.4344,1.9778,1.827,505,0,0,134.0,0,RISK_TAKER,1.0,5.4309
ADR1517,1.8205,0.96,0.9226,356,0,0,307.0,0,AUTONOMOUS,1.0,2.172
ADS0763,1.9458,0.8853,0.7096,356,0,0,486.0,0,RISK_TAKER,1.0,2.3567
ADS2428,4.2919,2.4589,2.9113,356,0,0,370.0,0,RISK_TAKER,1.0,5.4931
ADS2950,3.6606,1.5436,0.9361,248,0,0,223.0,0,AUTONOMOUS,1.0,5.1447
ADV1640,1.0841,1.0088,0.9851,41,0,0,48.0,0,CAREFULL,1.0,1.1794
ADV2467,2.2443,1.021,0.9357,356,0,0,482.0,0,AUTONOMOUS,1.0,2.6559
ADW2832,2.0318,1.3676,1.1014,356,0,0,84.0,0,CAREFULL,1.0,2.5138
AEB1458,1.6049,0.7186,0.7079,356,0,0,460.0,0,AUTONOMOUS,1.0,2.3474
AEB3249,3.8398,1.4826,0.9749,356,0,0,230.0,0,SOCIAL,1.0,5.1438
AEB3574,2.4373,1.4371,1.4836,356,0,0,385.0,0,RISK_TAKER,1.0,3.0657
AED1421,5.3894,3.2253,4.5018,360,0,0,474.0,0,COMPLIANT,1.0,6.9092
AEF2019,2.4017,0.7598,0.605,356,0,0,194.0,0,SOCIAL,1.0,2.5491
AEG1121,2.6735,0.9344,1.0889,312,0,0,308.0,0,COMPLIANT,1.0,3.1024
AEH0187,3.7507,1.4679,0.9486,315,0,0,421.0,0,AUTONOMOUS,1.0,5.5862
AEH2020,2.1492,0.9225,0.9981,356,0,0,264.0,0,RISK_TAKER,1.0,2.7202
AEK3566,1.8094,0.911,0.8054,356,0,0,426.0,0,AUTONOMOUS,1.0,2.2638
AEM0554,4.9114,2.0114,2.2198,502,0,0,15.0,0,AUTONOMOUS,1.0,6.7376
AEP1930,2.1325,0.8689,0.8101,356,0,0,59.0,0,AUTONOMOUS,1.0,2.9909
AEW1442,2.3508,0.9174,0.7314,356,0,0,333.0,0,CAREFULL,1.0,2.7608
AFB0904,3.5854,2.1618,1.7774,356,0,0,319.0,0,SOCIAL,1.0,5.1671
AFB1626,1.5795,1.0208,1.0074,356,0,0,454.0,0,AUTONOMOUS,1.0,1.8865
AFB3228,5.0979,1.9826,1.6444,366,0,0,510.0,0,COMPLIANT,1.0,5.4004
AFF1492,1.8131,1.0209,1.0619,356,0,0,153.0,0,AUTONOMOUS,1.0,2.4067
AFH1757,2.1963,1.1952,1.1977,356,0,0,488.0,0,RISK_TAKER,1.0,2.6265
AFK3800,3.0288,1.4194,0.9894,356,0,0,67.0,0,AUTONOMOUS,1.0,3.7822
AFP2247,1.7989,0.9847,1.0056,356,0,0,347.0,0,SOCIAL,1.0,2.1307
AFP2709,5.0913,2.2935,1.426,493,0,0,23.0,0,AUTONOMOUS,1.0,8.3777
AGB0057,2.6536,1.2644,2.2078,356,0,0,341.0,0,SOCIAL,1.0,2.9017
AGB3303,1.6713,1.0197,0.9722,356,0,0,238.0,0,RISK_TAKER,1.0,2.057
AGC0445,2.691,1.2867,1.0055,356,0,0,192.0,0,COMPLIANT,1.0,3.7146
AGE1244,1.9273,0.9583,1.082,356,0,0,83.0,0,RISK_TAKER,1.0,2.4887
AGF0742,6.2568,3.5839,5.7285,378,28,0,94.0,0,COMPLIANT,1.0,11.2961
AGF1810,3.359,1.0325,1.0859,312,0,0,423.0,0,AUTONOMOUS,1.0,5.0174
AGF2302,1.0571,0.772,0.7809,314,0,0,434.0,0,RISK_TAKER,1.0,1.0906
AGG3958,2.3087,0.8988,0.9332,356,0,0,217.0,0,AUTONOMOUS,1.0,2.8095
AGL1301,2.8016,1.3506,1.2801,356,0,0,257.0,0,CAREFULL,1.0,3.2229
AGL3519,1.7965,0.7971,0.7839,356,0,0,257.0,0,AUTONOMOUS,1.0,2.1262
AGM0133,1.9514,0.7798,1.3117,356,0,0,116.0,0,AUTONOMOUS,1.0,2.3968
AGM3372,2.7539,1.1593,1.3477,356,0,0,300.0,0,COMPLIANT,1.0,4.1205
AGM3504,2.58,1.0422,0.8629,356,0,0,34.0,0,AUTONOMOUS,1.0,3.3602
AGS0063,2.4151,0.8494,0.7014,356,0,0,326.0,0,AUTONOMOUS,1.0,2.8529
AGS2462,1.851,0.966,0.9139,356,0,0,397.0,0,AUTONOMOUS,1.0,2.2321
AGW1590,3.6087,1.6047,0.8832,363,0,0,81.0,0,SOCIAL,1.0,4.4703
AHB0648,2.5574,1.0935,1.0652,356,0,0,159.0,0,COMPLIANT,1.0,3.5607
AHC0232,1.987,1.1263,1.1184,356,0,0,472.0,0,RISK_TAKER,1.0,2.4267
AHC1994,3.9048,1.3938,0.9561,380,0,0,441.0,0,CAREFULL,1.0,5.1888
AHC3277,1.3683,0.8038,0.8181,356,0,0,402.0,0,COMPLIANT,1.0,2.6037
AHD2457,2.0946,0.9125,1.1362,356,0,0,398.0,0,RISK_TAKER,1.0,5.2499
AHG1408,1.4796,0.8433,0.7672,356,0,0,35.0,0,AUTONOMOUS,1.0,1.7535
AHG3997,1.8045,0.9926,0.9181,356,0,0,49.0,0,SOCIAL,1.0,2.3294
AHH0495,1.8653,0.7764,0.7967,356,0,0,314.0,0,SOCIAL,1.0,2.6681
AHH1966,2.3754,1.0873,0.9458,356,0,0,83.0,0,AUTONOMOUS,1.0,3.4632
AHK1988,2.7482,1.0902,0.8741,356,0,0,445.0,0,AUTONOMOUS,1.0,2.9095
AHM0959,2.299,1.3517,1.3484,356,0,0,311.0,0,RISK_TAKER,1.0,2.8098
AHP0154,1.94,0.953,0.88,356,0,0,375.0,0,AUTONOMOUS,1.0,2.1807
AHS2348,1.8941,0.9896,0.9037,356,0,0,27.0,0,SOCIAL,1.0,1.9311
AIA2005,2.3121,0.8781,0.9599,229,0,0,200.0,0,RISK_TAKER,1.0,2.6259
AIB0553,2.8705,1.216,1.0315,356,0,0,186.0,0,SOCIAL,1.0,4.3685
AIB1567,2.2104,1.1289,1.7012,356,0,0,82.0,0,COMPLIANT,1.0,2.638
AIB3416,3.5129,1.5905,1.7865,356,0,0,7.0,0,AUTONOMOUS,1.0,5.3321
AIC1071,1.7177,0.7892,0.8188,356,0,0,483.0,0,RISK_TAKER,1.0,2.7731
AID2774,2.3128,1.128,0.9896,356,0,0,315.0,0,AUTONOMOUS,1.0,2.8629
AIF1202,2.0828,0.9195,1.1138,356,0,0,318.0,0,RISK_TAKER,1.0,2.6886
AIH2535,2.6041,1.2158,1.0127,356,0,0,243.0,0,AUTONOMOUS,1.0,2.6497
AIJ0383,2.8118,1.4184,1.407,356,0,0,161.0,0,AUTONOMOUS,1.0,3.9618
AIJ3995,4.4575,2.5057,2.8393,361,0,0,327.0,0,RISK_TAKER,1.0,12.637
AIL2511,1.4948,0.8304,0.7112,356,0,0,467.0,0,AUTONOMOUS,1.0,1.8077
AIP1614,5.3261,3.391,3.0466,362,0,0,209.0,0,AUTONOMOUS,1.0,7.5376
AIS1082,1.7195,0.8462,0.6873,356,0,0,39.0,0,COMPLIANT,1.0,1.8107
AIT1264,1.2402,0.7875,0.7535,356,0,0,355.0,0,AUTONOMOUS,1.0,1.3792
AIV3936,2.1155,1.199,1.1678,356,0,0,265.0,0,RISK_TAKER,1.0,2.3021
AIY3991,2.017,1.109,1.0432,356,0,0,118.0,0,SOCIAL,1.0,2.2154
AJB1380,2.2302,1.045,0.8604,356,0,0,230.0,0,RISK_TAKER,1.0,3.2657
AJC0722,2.3248,1.0015,0.7152,356,0,0,38.0,0,AUTONOMOUS,1.0,3.3944
AJC3010,2.0921,1.1065,1.0465,356,0,0,385.0,0,SOCIAL,1.0,2.6967
AJG0240,2.6354,1.1183,0.8459,240,0,0,88.0,0,AUTONOMOUS,1.0,3.4852
AJH0279,2.3607,0.8428,0.6953,356,0,0,96.0,0,AUTONOMOUS,1.0,2.4025
AJH2110,3.9904,1.55,1.4263,356,0,0,462.0,0,CAREFULL,1.0,5.2306
AJH3517,1.9887,0.8228,0.8252,356,0,0,242.0,0,AUTONOMOUS,1.0,2.9259
AJK0611,1.4971,0.8317,0.8603,356,0,0,511.0,0,CAREFULL,1.0,2.2107
AJM0243,1.8802,0.7802,0.7317,356,0,0,178.0,0,RISK_TAKER,1.0,3.1586
AJM0345,2.4182,1.3538,0.866,356,0,0,511.0,0,AUTONOMOUS,1.0,4.0231
AJM2385,4.3238,1.3446,1.4693,356,0,0,38.0,0,SOCIAL,1.0,6.8214
AJN1275,2.3789,0.9416,0.9028,363,0,0,22.0,0,COMPLIANT,1.0,3.1749
AJO2788,1.638,0.8686,0.8252,356,0,0,178.0,0,SOCIAL,1.0,2.2924
AJP1199,1.932,0.8627,1.0819,356,0,0,256.0,0,RISK_TAKER,1.0,2.2306
AJQ0809,2.1256,1.0788,0.8437,356,0,0,348.0,0,CAREFULL,1.0,2.8016
AJS0616,2.2931,0.8408,0.7723,356,0,0,234.0,0,SOCIAL,1.0,3.377
AJS3021,5.1341,2.2471,1.4669,460,0,0,274.0,0,COMPLIANT,1.0,8.8768
AJS3899,2.0353,0.8745,0.7886,356,0,0,207.0,0,RISK_TAKER,1.0,2.6839
AJV0176,1.5778,0.8252,0.7715,299,0,0,259.0,0,SOCIAL,1.0,2.0502
AJW1246,1.5438,0.8419,0.7447,356,0,0,451.0,0,CAREFULL,1.0,2.0874
AKB2312,5.9444,3.5594,3.2267,503,9,0,247.0,0,SOCIAL,1.0,7.6255
AKB3530,3.2252,1.3491,2.2577,60,0,0,83.0,0,COMPLIANT,1.0,4.0627
AKC1929,1.7738,1.0209,1.1094,356,0,0,60.0,0,RISK_TAKER,1.0,2.4866
AKC3739,2.9084,1.8359,2.8982,356,0,0,90.0,0,RISK_TAKER,1.0,4.1387
AKD0272,6.9722,2.793,3.6273,357,2,0,154.0,0,AUTONOMOUS,1.0,8.4477
AKG2702,3.1379,1.6198,1.6314,356,0,0,285.0,0,SOCIAL,1.0,4.099
AKH0454,6.1481,2.6316,2.9441,480,3,0,120.0,0,COMPLIANT,1.0,8.4221
AKH1534,2.6845,1.3184,1.2099,356,0,0,396.0,0,CAREFULL,1.0,5.1469
AKI3229,2.1356,0.891,0.7189,356,0,0,87.0,0,AUTONOMOUS,1.0,3.1704
AKK2125,3.3673,1.3166,0.9071,414,0,0,449.0,0,CAREFULL,1.0,5.0306
AKL1305,2.9326,1.4068,1.0772,362,0,0,459.0,0,RISK_TAKER,1.0,4.9598
AKL1605,4.487,2.3666,3.0009,356,0,0,110.0,0,AUTONOMOUS,1.0,8.3286
AKP3573,1.3953,0.8586,0.9587,246,0,0,192.0,0,SOCIAL,1.0,1.9783
AKS0298,2.0607,1.4029,1.3793,356,0,0,299.0,0,RISK_TAKER,1.0,2.3199
AKS3496,6.4444,3.5215,6.1227,61,8,0,16.0,0,COMPLIANT,1.0,8.9641
AKS3705,1.862,1.2542,1.1932,356,0,0,342.0,0,CAREFULL,1.0,2.1499
AKW1679,1.8132,0.9096,0.9072,356,0,0,448.0,0,AUTONOMOUS,1.0,1.8686
ALB1254,2.4928,0.9403,0.8854,302,0,0,434.0,0,SOCIAL,1.0,3.4664
ALB2395,3.4643,1.4137,1.0298,356,0,0,301.0,0,AUTONOMOUS,1.0,4.0438
ALB3649,5.1397,1.9318,1.5333,382,0,0,338.0,0,RISK_TAKER,1.0,7.3651
ALC1060,4.1257,2.4112,2.7328,356,0,0,488.0,0,COMPLIANT,1.0,5.5552
ALD3508,2.075,1.0077,0.7271,356,0,0,461.0,0,RISK_TAKER,1.0,2.9387
ALH1494,2.0027,0.9481,0.8649,356,0,0,276.0,0,AUTONOMOUS,1.0,3.0101
ALH1872,1.9458,0.8492,0.7079,356,0,0,153.0,0,SOCIAL,1.0,2.424
ALH2916,1.5159,0.8151,0.7907,356,0,0,77.0,0,AUTONOMOUS,1.0,1.6545
ALL0289,3.143,1.5799,1.4043,356,0,0,459.0,0,RISK_TAKER,1.0,3.8753
ALN2046,1.3942,0.8208,0.7304,356,0,0,300.0,0,AUTONOMOUS,1.0,1.622
ALP2955,3.1276,1.0929,1.2273,356,0,0,497.0,0,AUTONOMOUS,1.0,3.8289
ALS2596,2.4173,1.0826,0.7664,356,0,0,215.0,0,RISK_TAKER,1.0,3.0222
ALS2669,1.8299,1.1017,0.9045,356,0,0,446.0,0,COMPLIANT,1.0,2.3085
ALS3440,4.7882,1.5814,1.7449,373,0,0,190.0,0,SOCIAL,1.0,5.1752
ALT1354,1.8875,0.825,0.9321,356,0,0,488.0,0,CAREFULL,1.0,1.8783
AMA2808,3.1217,1.495,1.1043,458,0,0,219.0,0,AUTONOMOUS,1.0,4.5145
AMB3100,4.4795,1.6406,0.9162,439,0,0,513.0,0,AUTONOMOUS,1.0,6.8584
AMB3208,2.6749,1.1117,1.4024,356,0,0,494.0,0,COMPLIANT,1.0,3.1978
AMD2728,2.0763,1.0433,1.0325,356,0,0,84.0,0,COMPLIANT,1.0,2.3395
AME0732,1.7931,0.9893,0.9526,356,0,0,101.0,0,RISK_TAKER,1.0,2.4026
AME1361,3.0847,1.1459,0.8064,356,0,0,315.0,0,AUTONOMOUS,1.0,4.8896
AME1490,5.8756,3.4146,1.8243,314,3,0,50.0,0,SOCIAL,1.0,8.2994
AMH1481,2.5627,0.8972,0.8035,356,0,0,147.0,0,AUTONOMOUS,1.0,2.8619
AMH3562,1.4582,0.7129,0.7312,356,0,0,472.0,0,AUTONOMOUS,1.0,2.0287
AMJ2374,3.1125,1.4179,2.3848,356,0,0,399.0,0,COMPLIANT,1.0,3.9144
AMJ3174,1.8816,0.9324,0.8044,191,0,0,46.0,0,CAREFULL,1.0,2.4043
AMM0734,1.6541,0.7703,0.7195,356,0,0,459.0,0,RISK_TAKER,1.0,1.9165
AMM3906,2.6508,1.1315,1.1087,356,0,0,466.0,0,AUTONOMOUS,1.0,4.3112
AMN0911,3.6624,1.8077,1.952,356,0,0,115.0,0,SOCIAL,1.0,6.1211
AMO0582,2.4161,0.7141,0.5503,356,0,0,347.0,0,AUTONOMOUS,1.0,2.9319
AMR0197,2.0387,1.0066,0.7329,356,0,0,399.0,0,AUTONOMOUS,1.0,2.1954
AMS0630,3.1653,1.2487,1.1567,356,0,0,88.0,0,SOCIAL,1.0,3.7015
AMS0712,2.6367,1.4705,1.6684,356,0,0,444.0,0,RISK_TAKER,1.0,3.6933
ANB0938,1.6396,0.8853,1.5143,356,0,0,342.0,0,SOCIAL,1.0,2.1042
ANB2766,2.4372,1.2732,1.1769,356,0,0,312.0,0,CAREFULL,1.0,4.3
ANC1319,2.1447,1.1627,0.9422,356,0,0,510.0,0,RISK_TAKER,1.0,2.4928
ANC1834,2.1975,1.0614,0.9365,356,0,0,118.0,0,CAREFULL,1.0,2.5231
ANC1950,6.5741,2.0513,4.187,404,5,0,198.0,0,RISK_TAKER,1.0,8.969
ANF3332,3.3592,1.5919,1.0701,361,0,0,452.0,0,SOCIAL,1.0,4.6633
ANH2482,1.949,1.0339,1.0113,356,0,0,262.0,0,RISK_TAKER,1.0,2.6881
ANH3059,2.2465,0.9481,0.8426,356,0,0,251.0,0,RISK_TAKER,1.0,2.5141
ANK0777,1.8431,0.8665,0.859,356,0,0,479.0,0,COMPLIANT,1.0,2.7297
ANL3024,4.9061,2.1019,1.822,361,0,0,341.0,0,AUTONOMOUS,1.0,5.6422
ANM0564,2.6667,1.322,1.281,356,0,0,510.0,0,COMPLIANT,1.0,4.2426
ANO2653,3.4777,1.2213,1.1679,356,0,0,81.0,0,AUTONOMOUS,1.0,4.8115
AOC0982,5.0792,3.2365,2.9059,356,0,0,59.0,0,RISK_TAKER,1.0,6.5926
AOD2178,2.0055,1.012,1.0347,356,0,0,298.0,0,COMPLIANT,1.0,2.5891
AOM1457,4.0587,2.2584,0.6574,356,0,0,277.0,0,SOCIAL,1.0,7.0744
AOP1542,1.119,0.8913,0.9744,356,0,0,469.0,0,COMPLIANT,1.0,1.3083
APA1788,4.3378,1.9006,1.9025,361,0,0,503.0,0,SOCIAL,1.0,5.2021
APB1122,4.8037,1.6985,2.0585,356,0,0,136.0,0,COMPLIANT,1.0,7.9643
APB3823,2.7905,1.4474,1.1,494,0,0,100.0,0,CAREFULL,1.0,3.7108
APC3043,4.1473,2.4864,2.7862,356,0,0,285.0,0,SOCIAL,1.0,5.3742
APD0381,2.2207,1.1937,1.1013,356,0,0,97.0,0,RISK_TAKER,1.0,2.8646
APH2985,1.538,0.8708,0.8222,356,0,0,432.0,0,RISK_TAKER,1.0,1.6195
APM0190,3.8158,1.0485,1.434,356,0,0,94.0,0,RISK_TAKER,1.0,6.7346
APP1054,4.502,2.4886,3.3597,229,0,0,297.0,0,RISK_TAKER,1.0,6.3001
APP1996,1.992,0.8703,0.8869,356,0,0,223.0,0,RISK_TAKER,1.0,2.7547
APP2488,4.76,2.8473,2.7841,356,0,0,178.0,0,RISK_TAKER,1.0,6.7038
APP3678,2.1995,1.026,0.8064,356,0,0,299.0,0,CAREFULL,1.0,2.9506
APS1968,3.1963,1.2136,1.5706,375,0,0,449.0,0,CAREFULL,1.0,4.6633
APS3553,1.4043,0.8171,0.7917,356,0,0,385.0,0,SOCIAL,1.0,1.8734
APS3701,0.953,0.8266,0.8289,356,0,0,445.0,0,COMPLIANT,1.0,1.3599
ARB0208,3.5601,1.808,1.1719,356,0,0,446.0,0,COMPLIANT,1.0,5.1883
ARB2515,2.174,0.8399,0.8736,356,0,0,227.0,0,COMPLIANT,1.0,3.0636
ARB3934,1.6761,1.042,1.0903,356,0,0,54.0,0,AUTONOMOUS,1.0,1.8585
ARC1223,1.8843,0.9605,1.2524,356,0,0,339.0,0,RISK_TAKER,1.0,2.7354
ARC1725,4.0597,1.4206,0.8956,356,0,0,21.0,0,COMPLIANT,1.0,4.816
ARC2809,1.8014,1.031,0.9829,356,0,0,10.0,0,AUTONOMOUS,1.0,2.0896
ARC3034,3.3095,1.5299,1.4438,356,0,0,321.0,0,CAREFULL,1.0,5.0441
ARF0575,2.4633,1.0146,0.8359,356,0,0,313.0,0,RISK_TAKER,1.0,2.6864
ARG0441,4.7982,1.6569,1.3129,356,0,0,143.0,0,AUTONOMOUS,1.0,7.9613
ARG3554,2.5741,0.8543,0.6758,356,0,0,112.0,0,CAREFULL,1.0,2.6252
ARH1610,2.3741,1.1297,1.1933,356,0,0,33.0,0,SOCIAL,1.0,2.5524
ARH2097,2.3696,1.2778,1.0266,356,0,0,398.0,0,RISK_TAKER,1.0,3.2006
ARH2262,1.9943,1.0975,0.9513,356,0,0,215.0,0,COMPLIANT,1.0,2.8319
ARJ0912,3.3324,1.5657,1.4526,356,0,0,235.0,0,SOCIAL,1.0,4.4772
